


2022-05-06 09:18:14 [USER] [SYSTEM] Core Program Start
2022-05-06 09:18:14 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-05-06 09:21:08 [USER] [SYSTEM] Core Program Start
2022-05-06 09:21:08 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-05-06 09:24:37 [USER] [SYSTEM] Core Program Start
2022-05-06 09:24:38 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-05-06 09:24:40 [USER] [SYSTEM] RESTART CORE PROGRAM CLICKED



2022-05-06 09:24:41 [USER] [SYSTEM] Core Program Start
2022-05-06 09:24:41 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW



2022-05-06 10:35:11 [USER] [SYSTEM] Core Program Start
2022-05-06 10:35:11 [USER] [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-05-06 10:35:13 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:16 [USER] [USER INPUT] UI : UNLOCK
2022-05-06 10:35:18 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:20 [USER] [USER INPUT] Button Click : COFFEE INFO
2022-05-06 10:35:23 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:28 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:33 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:38 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:43 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:48 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:53 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:35:58 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:03 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:08 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:13 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:18 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:23 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:28 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:33 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:38 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:43 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:48 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:53 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:36:58 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:03 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:08 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:13 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:18 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:23 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:28 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:33 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:38 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:43 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:48 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:53 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:37:58 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:03 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:08 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:13 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:18 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:23 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:28 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:33 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:38 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:43 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:48 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:53 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:38:58 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:03 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:08 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:13 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:18 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:23 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:28 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:33 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:38 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:43 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:48 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:53 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:39:58 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:03 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:08 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:13 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:18 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:23 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:28 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:33 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:38 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:43 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:48 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:53 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:40:58 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:41:03 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
2022-05-06 10:41:08 [USER] [COFFEE] Serial : ttyUSB0 Open Fail
