[09:22:36]===============================================================
[09:22:36]     START MEASURE :: 아이스 아메리카노
[09:22:36]---------------------------------------------------------------
[09:22:37]  START CUP           : 0.18 sec
[09:22:40]  READY CUP           : 3.47 sec
[09:22:43]  DISPENSE CUP        : 2.73 sec
[09:22:45]  START ICE           : 2.19 sec
[09:22:47]  READY ICE           : 2.21 sec
[09:22:52]  DISPENSE ICE        : 4.46 sec
[09:22:52]  START COFFEE         : 0.20 sec
[09:23:24]  DISPENSE COFFEE         : 32.14 sec
[09:23:24]  START OUTLET         : 0.21 sec
[09:23:29]  READY OUTLET         : 4.99 sec
[09:23:33]  DISPENSE OUTLET         : 4.26 sec
[09:23:33]     STOP MEASURE :: 아이스 아메리카노
[09:23:33]     TAKT TIME :: 57.04 sec
[09:23:33]===============================================================



[09:23:36]===============================================================
[09:23:36]     START MEASURE :: 아이스 아메리카노
[09:23:36]---------------------------------------------------------------
[09:23:36]  START CUP           : 0.19 sec
[09:23:39]  READY CUP           : 2.81 sec
[09:23:42]  DISPENSE CUP        : 2.93 sec
[09:23:43]  START ICE           : 1.66 sec
[09:23:46]  READY ICE           : 2.14 sec
[09:23:50]  DISPENSE ICE        : 4.47 sec
[09:23:50]  START COFFEE         : 0.19 sec
[09:24:27]  DISPENSE COFFEE         : 36.71 sec
[09:24:27]  START OUTLET         : 0.22 sec
[09:24:33]  READY OUTLET         : 5.47 sec
[09:24:36]  DISPENSE OUTLET         : 3.60 sec
[09:24:36]     STOP MEASURE :: 아이스 아메리카노
[09:24:36]     TAKT TIME :: 60.39 sec
[09:24:36]===============================================================



[09:24:37]===============================================================
[09:24:37]     START MEASURE :: 아이스 바닐라라떼
[09:24:37]---------------------------------------------------------------
[09:24:37]  START CUP           : 0.19 sec
[09:24:40]  READY CUP           : 3.48 sec
[09:24:43]  DISPENSE CUP        : 2.73 sec
[09:24:45]  START ICE           : 2.19 sec
[09:24:47]  READY ICE           : 2.08 sec
[09:24:50]  DISPENSE ICE        : 3.00 sec
[09:24:50]  START SYRUP         : 0.19 sec
[09:24:54]  READY SYRUP         : 3.21 sec
[09:24:55]  DISPENSE SYRUP         : 1.34 sec
[09:24:55]  START COFFEE         : 0.18 sec
[09:25:25]  DISPENSE COFFEE         : 29.80 sec
